;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;||;||;||;||;||;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;||;||;;h;;||;||;;;;;;;;||;||;||;||;||;||;||;||;||;||;||;||;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;||;;;;;;||;||;;;;;;||;||;h;b;h;h;h;h;h;b;h;h;||;||;||;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;||;;h;;;;h;||;||;;;;;||;h;h;t;t;h;t;t;t;t;t;h;b;h;||;||;;;;;;;;;;;;;;;||;||;||;||;||;||;||;||;||;||;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;||;;;;h;;;t;||;;;;||;||;t;h;h;h;h;h;h;h;h;h;h;t;h;t;||;||;;;;;;;;;;;;;;||;h;h;h;h;h;h;h;h;||;||;;;;;;;;;;;;||;||;||;||;||;||;;;
;;;;;;;;;||;UT;;;;b;;h;||;||;;;||;h;h;h;t;t;t;t;h;t;t;t;t;t;h;t;t;||;||;;;;;;;;;;;;;||;h;t;t;t;t;t;t;h;t;||;||;;;;;;;;;;;||;h;h;h;h;||;||;;
;;;;;;;;;||;UT;;h;t;;;h;h;||;;||;||;t;t;h;h;h;UT;t;h;t;t;h;h;h;h;h;h;h;||;||;;;;;;;;;;;;||;h;t;h;h;h;h;h;h;t;t;||;||;;;;;;;;;;||;h;h;h;h;h;||;;
;;;;;;;;;||;t;t;;;h;;t;h;||;;||;h;t;h;h;t;t;t;t;h;t;t;h;t;t;t;t;t;h;h;||;;;;;;;;;;;;||;h;t;h;t;t;t;t;t;t;h;t;||;||;;;;;;;;||;||;h;h;h;h;h;||;||;
;;;;;;;;;||;||;h;h;;;h;h;h;||;;||;h;h;h;h;b;h;h;h;h;t;h;h;h;h;h;h;h;t;h;||;;;;;;;;;;;||;||;h;t;h;h;h;h;h;h;t;h;h;h;||;||;;;;;;;||;h;h;h;h;h;h;h;||;
;;;;;;;;;;||;h;t;h;;h;t;h;||;||;||;t;h;t;t;t;t;h;t;h;t;h;t;t;t;h;t;b;t;h;||;;;;;;;;;;;||;h;h;t;t;t;t;t;t;h;t;h;t;h;h;||;||;;;;;||;||;h;h;UT;h;h;UT;h;||;||
;;;;;;;;;;||;h;t;h;h;h;t;h;h;h;h;h;h;h;h;t;t;h;t;h;t;h;t;t;t;h;b;UT;h;h;||;;;;;;;;;;;||;h;t;t;h;h;h;h;t;h;t;h;t;t;h;h;||;||;||;;;||;h;UT;h;h;h;h;h;h;h;||
;;;;;;;;;;||;t;h;h;t;h;t;h;b;h;t;h;b;b;h;t;t;h;t;t;t;h;t;t;t;h;t;b;t;h;||;;;;;;;;;;;||;h;t;t;h;t;b;t;t;h;t;h;t;t;t;h;h;h;||;||;||;||;h;h;h;h;h;h;h;h;h;||
;;;;;;;;;||;||;t;t;h;t;t;t;t;h;h;t;h;h;b;h;t;t;h;h;h;h;h;h;h;t;h;h;h;t;h;||;;;;;;;;;;||;||;h;h;h;h;b;UT;h;h;h;t;h;b;h;t;t;h;h;h;||;||;h;h;h;h;h;h;h;h;h;h;||
